Video,Phase,Start_Frame,End_Frame,Duration,Key_Frame,Image_Path
B2B_F39_I_cleaned,Address,62,68,7,65,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Address.jpg
B2B_F39_I_cleaned,Takeaway,83,89,7,86,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Takeaway.jpg
B2B_F39_I_cleaned,Mid-backswing,90,96,7,93,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Mid-backswing.jpg
B2B_F39_I_cleaned,Top,108,114,7,111,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Top.jpg
B2B_F39_I_cleaned,Mid-downswing,113,119,7,116,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Mid-downswing.jpg
B2B_F39_I_cleaned,Impact,117,123,7,120,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Impact.jpg
B2B_F39_I_cleaned,Follow-through,119,125,7,122,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Follow-through.jpg
B2B_F39_I_cleaned,Finish,136,142,7,139,data\keyframes\B2B_F39_I_nn\B2B_F39_I_cleaned_Finish.jpg
