frame,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.6134336590766907,0.44057711958885193,-0.9222995042800903,0.9995152950286865,0.6236864328384399,0.429910272359848,-0.9085899591445923,0.9990286827087402,0.6291696429252625,0.4289669990539551,-0.9085981845855713,0.998934805393219,0.6340957283973694,0.427772581577301,-0.9086096286773682,0.9991732239723206,0.6060377359390259,0.42923563718795776,-0.9234706163406372,0.9990780353546143,0.598905086517334,0.42775946855545044,-0.9235671758651733,0.998977780342102,0.5919612050056458,0.4261900782585144,-0.9235382676124573,0.9990673661231995,0.6366108059883118,0.4237223267555237,-0.7174857258796692,0.9975855350494385,0.5809691548347473,0.4230460226535797,-0.7817564010620117,0.9979546070098877,0.620008111000061,0.4458746016025543,-0.8381799459457397,0.9989714622497559,0.6010700464248657,0.44494056701660156,-0.8570974469184875,0.9988428354263306,0.6735344529151917,0.4478798806667328,-0.4648263156414032,0.999894380569458,0.5286030769348145,0.4577106535434723,-0.6075747013092041,0.9998238682746887,0.661673903465271,0.5138814449310303,-0.3638530373573303,0.9641455411911011,0.5513817071914673,0.5201882123947144,-0.5889614224433899,0.9599300622940063,0.6369000673294067,0.5694990754127502,-0.4514017701148987,0.9411641955375671,0.5970101952552795,0.5771914720535278,-0.6440178155899048,0.9421768188476562,0.6374346613883972,0.5911704301834106,-0.4851468801498413,0.898901104927063,0.6060490608215332,0.5920441150665283,-0.6970751881599426,0.913740336894989,0.6330429315567017,0.5886580944061279,-0.5333332419395447,0.9030514359474182,0.6172735095024109,0.5909304022789001,-0.7230851054191589,0.9189236760139465,0.6307304501533508,0.5810595154762268,-0.4713835120201111,0.8922629952430725,0.615152895450592,0.5854974389076233,-0.6536461710929871,0.8988703489303589,0.621679961681366,0.5433183312416077,0.04654039815068245,0.9994232654571533,0.5467008948326111,0.5435840487480164,-0.0464165173470974,0.9993682503700256,0.6545284986495972,0.6331433653831482,-0.03741275146603584,0.9627512097358704,0.5123375058174133,0.6339994668960571,-0.13169650733470917,0.9806481003761292,0.6683943271636963,0.7237716913223267,0.11763760447502136,0.9569558501243591,0.4755757749080658,0.7283254861831665,-0.011979121714830399,0.9813521504402161,0.6560577750205994,0.7334378957748413,0.12390770018100739,0.74082350730896,0.47421908378601074,0.7386519908905029,-0.01048651710152626,0.7808650135993958,0.7004450559616089,0.7510461807250977,-0.06879190355539322,0.9515078067779541,0.4771651327610016,0.7574137449264526,-0.22433821856975555,0.9700999855995178
1,0.6153241991996765,0.4385952949523926,-0.879290759563446,0.9994882345199585,0.6250978708267212,0.42832446098327637,-0.8664689064025879,0.9989672303199768,0.6304883360862732,0.42767125368118286,-0.8665158748626709,0.998864471912384,0.6356925368309021,0.42688241600990295,-0.8665903806686401,0.9991127848625183,0.6076603531837463,0.42772144079208374,-0.8799923658370972,0.9990212917327881,0.6011735796928406,0.4266229271888733,-0.8801167607307434,0.9989146590232849,0.5946006178855896,0.42533382773399353,-0.8801522254943848,0.9990147948265076,0.6384627223014832,0.42403513193130493,-0.6872193813323975,0.9974697828292847,0.5829829573631287,0.4225080907344818,-0.7461651563644409,0.9978904128074646,0.6221316456794739,0.44426846504211426,-0.7999204993247986,0.9989261031150818,0.6041485667228699,0.443854421377182,-0.8174117207527161,0.9987998604774475,0.6758454442024231,0.45069020986557007,-0.4490301311016083,0.9998837113380432,0.529877245426178,0.4600323736667633,-0.5927890539169312,0.999821662902832,0.6614380478858948,0.5178781151771545,-0.36686787009239197,0.9625087380409241,0.5524747967720032,0.5254380702972412,-0.5815486311912537,0.9607710242271423,0.6368984580039978,0.5706838369369507,-0.4400796592235565,0.9396072626113892,0.6070886850357056,0.5797262787818909,-0.6351451277732849,0.9431951642036438,0.6366354823112488,0.5894999504089355,-0.47136595845222473,0.8968227505683899,0.618647575378418,0.5951533317565918,-0.6879960298538208,0.914972722530365,0.6326631903648376,0.5879875421524048,-0.5133106112480164,0.9008735418319702,0.6250659823417664,0.5934344530105591,-0.7064909934997559,0.9198635220527649,0.6291530728340149,0.5802092552185059,-0.45689553022384644,0.8895682096481323,0.6226257085800171,0.587954580783844,-0.6413644552230835,0.8997204899787903,0.6209524869918823,0.5425968170166016,0.04271521046757698,0.9993792772293091,0.5443817973136902,0.5461617112159729,-0.04259398579597473,0.9992928504943848,0.6553460955619812,0.6337645649909973,-0.06976691633462906,0.9629311561584473,0.511228084564209,0.6366521716117859,-0.15316127240657806,0.980521559715271,0.6656157374382019,0.7217721343040466,0.06799622625112534,0.9571229815483093,0.48127084970474243,0.7235219478607178,-0.025263197720050812,0.980678915977478,0.6514754891395569,0.7316017746925354,0.07379625737667084,0.7433964610099792,0.4775044322013855,0.7334668636322021,-0.02171948179602623,0.7788769006729126,0.7018804550170898,0.7492819428443909,-0.1185307577252388,0.9512292146682739,0.48340097069740295,0.7552344799041748,-0.2328900247812271,0.9691168665885925
2,0.6144648194313049,0.437934011220932,-0.9070159196853638,0.9994856119155884,0.6248552203178406,0.4281763434410095,-0.8937456607818604,0.9989593625068665,0.6301393508911133,0.42765551805496216,-0.8937836289405823,0.998850405216217,0.635078489780426,0.426994264125824,-0.8938508033752441,0.9990995526313782,0.6078227758407593,0.4272506833076477,-0.9066759943962097,0.9990155100822449,0.6010115146636963,0.4259378910064697,-0.9067986607551575,0.9989027380943298,0.5945171117782593,0.42453742027282715,-0.9067879319190979,0.9990054965019226,0.6374679803848267,0.42364221811294556,-0.7076375484466553,0.9974842667579651,0.58363276720047,0.42134222388267517,-0.763643205165863,0.9979057908058167,0.6211509108543396,0.4441245198249817,-0.8246734738349915,0.9989379048347473,0.6023316383361816,0.4430409371852875,-0.8413432836532593,0.9988170266151428,0.6745238900184631,0.4506210684776306,-0.4587613344192505,0.9998822212219238,0.5282869338989258,0.4598260819911957,-0.6034800410270691,0.9998264312744141,0.6625401377677917,0.5171312689781189,-0.38110169768333435,0.9610964059829712,0.5539978742599487,0.525732159614563,-0.5901753306388855,0.9619731307029724,0.6344815492630005,0.5723264813423157,-0.4712332785129547,0.9381908178329468,0.6070352792739868,0.580428421497345,-0.6531826257705688,0.9446980953216553,0.6349248886108398,0.5923547744750977,-0.5073214769363403,0.8953214883804321,0.6185433268547058,0.5965780019760132,-0.7081267237663269,0.9169953465461731,0.6299558877944946,0.5889394283294678,-0.5505523085594177,0.8992601037025452,0.6249933242797852,0.5941737294197083,-0.7310327887535095,0.921604573726654,0.6268897652626038,0.5835288763046265,-0.488838791847229,0.8872597813606262,0.622296929359436,0.5883601903915405,-0.6612269878387451,0.901381254196167,0.6215556859970093,0.5427372455596924,0.042152587324380875,0.9993829727172852,0.5451765060424805,0.5474587678909302,-0.04199966415762901,0.9992905259132385,0.6543110609054565,0.627738356590271,-0.10789652168750763,0.96286541223526,0.5115243792533875,0.6372947096824646,-0.18921300768852234,0.9804179668426514,0.6681233644485474,0.7230435609817505,0.02550840564072132,0.9570160508155823,0.48030218482017517,0.7261587381362915,-0.07051987946033478,0.9802810549736023,0.6579527258872986,0.730578601360321,0.030251815915107727,0.7471629977226257,0.4768463969230652,0.7376917600631714,-0.0683036670088768,0.7800233364105225,0.7033567428588867,0.7495598793029785,-0.17067474126815796,0.9508933424949646,0.48236849904060364,0.7558329701423645,-0.2905097007751465,0.9685953855514526
3,0.6147514581680298,0.4391118586063385,-0.9099607467651367,0.9994574785232544,0.6257814168930054,0.4284139573574066,-0.8971495628356934,0.9989052414894104,0.6310639381408691,0.42774033546447754,-0.897190511226654,0.9987877011299133,0.6359407901763916,0.42698296904563904,-0.8972655534744263,0.9990457892417908,0.6075319647789001,0.427946001291275,-0.9107414484024048,0.9989655613899231,0.6004979014396667,0.4267582893371582,-0.9108668565750122,0.99884432554245,0.5940377116203308,0.4253787100315094,-0.9108784198760986,0.9989543557167053,0.6383251547813416,0.42391008138656616,-0.7136536240577698,0.9973992705345154,0.5834088921546936,0.42239826917648315,-0.7722240090370178,0.9978453516960144,0.6221781969070435,0.44497472047805786,-0.8284412026405334,0.9989033937454224,0.6020864844322205,0.4446006417274475,-0.8458779454231262,0.9987849593162537,0.6746110916137695,0.4508649408817291,-0.4648829698562622,0.9998762011528015,0.5288219451904297,0.4606807231903076,-0.6151170134544373,0.9998262524604797,0.663999080657959,0.5162596702575684,-0.3835565745830536,0.9591835141181946,0.5513143539428711,0.5253797769546509,-0.604987621307373,0.9624912738800049,0.6350082159042358,0.5712501406669617,-0.46041595935821533,0.9355675578117371,0.6071141958236694,0.5793561935424805,-0.6563790440559387,0.9450061917304993,0.6348375082015991,0.5897988677024841,-0.49236518144607544,0.8917025923728943,0.6196197271347046,0.5947912335395813,-0.7099319100379944,0.9172719120979309,0.6322671175003052,0.5883241891860962,-0.5345162153244019,0.8955163359642029,0.6272498369216919,0.5934432744979858,-0.7282602787017822,0.9216017127037048,0.6272203326225281,0.5803444385528564,-0.4771724343299866,0.8828397989273071,0.6245518326759338,0.5878124833106995,-0.6623241901397705,0.9008808732032776,0.6210331916809082,0.5426564812660217,0.04460585489869118,0.9993633031845093,0.5445271134376526,0.5474509000778198,-0.04445705935359001,0.9992624521255493,0.655734121799469,0.6287147402763367,-0.09387585520744324,0.9623156785964966,0.5114072561264038,0.6379247903823853,-0.1765955239534378,0.9802382588386536,0.6662479639053345,0.7211672067642212,0.0505819171667099,0.9562074542045593,0.478940486907959,0.7271462678909302,-0.05974821001291275,0.9798034429550171,0.6533288359642029,0.7292406558990479,0.05698243901133537,0.7485737800598145,0.4752559959888458,0.7401610016822815,-0.05759347975254059,0.7805574536323547,0.6983837485313416,0.7472444772720337,-0.1370970457792282,0.9499181509017944,0.48238813877105713,0.7573047876358032,-0.2771441638469696,0.9679663777351379
4,0.6154065728187561,0.4403579831123352,-0.8799711465835571,0.9994502663612366,0.6256370544433594,0.4296916425228119,-0.8678653240203857,0.9988887906074524,0.6312234997749329,0.42887115478515625,-0.8678963780403137,0.9987689256668091,0.6363685727119446,0.4278286397457123,-0.8679494261741638,0.9990276098251343,0.6074508428573608,0.42901667952537537,-0.8818413615226746,0.9989537596702576,0.6007267236709595,0.4277385175228119,-0.8819767236709595,0.9988308548927307,0.594632089138031,0.4263346195220947,-0.8819898962974548,0.9989426136016846,0.6394818425178528,0.4245489537715912,-0.6880015730857849,0.997381865978241,0.5850960612297058,0.4228724539279938,-0.7484554052352905,0.9978444576263428,0.6231641173362732,0.4462851881980896,-0.7994884848594666,0.99889075756073,0.6039170026779175,0.4454779028892517,-0.8174654841423035,0.9987765550613403,0.6747811436653137,0.44966578483581543,-0.4456658363342285,0.9998740553855896,0.5311799645423889,0.45913439989089966,-0.5934299230575562,0.9998286962509155,0.6642016768455505,0.5154213309288025,-0.36319831013679504,0.9573807120323181,0.5527956485748291,0.5248832106590271,-0.5817090272903442,0.9629455208778381,0.6374875903129578,0.5703374743461609,-0.43403002619743347,0.9334478378295898,0.6080353856086731,0.5796534419059753,-0.6268945932388306,0.9454165697097778,0.6375924944877625,0.5893255472183228,-0.46402421593666077,0.8889137506484985,0.6198654770851135,0.5947405099868774,-0.6781429052352905,0.9176786541938782,0.633497953414917,0.5878456234931946,-0.5057986974716187,0.8926988244056702,0.6280226111412048,0.5934396386146545,-0.6974201798439026,0.9217905402183533,0.6306948065757751,0.5797284841537476,-0.45050573348999023,0.8795282244682312,0.6251538395881653,0.5878638029098511,-0.6331606507301331,0.9007732272148132,0.6226781010627747,0.5408206582069397,0.042876146733760834,0.999360203742981,0.5473785996437073,0.546082615852356,-0.04270370304584503,0.999255895614624,0.6565007567405701,0.628482460975647,-0.10163220018148422,0.9620567560195923,0.513197124004364,0.6358602046966553,-0.18332399427890778,0.980009913444519,0.6671674251556396,0.722852349281311,0.019075574353337288,0.9562127590179443,0.47939810156822205,0.7276110053062439,-0.08263132721185684,0.9794301986694336,0.6524530053138733,0.7309297919273376,0.023033112287521362,0.7516813278198242,0.4770924746990204,0.7373221516609192,-0.08191662281751633,0.7821244597434998,0.6965875029563904,0.749092161655426,-0.17525796592235565,0.949913501739502,0.4797080159187317,0.754174530506134,-0.3011181652545929,0.9676797389984131
5,0.620754063129425,0.4415000379085541,-0.8709893822669983,0.9994069933891296,0.6295639872550964,0.4314013421535492,-0.857492983341217,0.9988000988960266,0.634886622428894,0.4305001199245453,-0.857541561126709,0.9986727833747864,0.6398857831954956,0.42941445112228394,-0.8576104044914246,0.9989485144615173,0.6123880743980408,0.4309541583061218,-0.8728958964347839,0.9988664984703064,0.6059001088142395,0.42961812019348145,-0.8730170130729675,0.9987350702285767,0.5991924405097961,0.42805615067481995,-0.873028576374054,0.9988602995872498,0.6415303945541382,0.42559367418289185,-0.6750504970550537,0.9972100853919983,0.5867530107498169,0.4242366850376129,-0.7416779398918152,0.9977166652679443,0.6266810297966003,0.4467369019985199,-0.7902408838272095,0.9988412857055664,0.6088229417800903,0.44643616676330566,-0.8099421858787537,0.998724102973938,0.6748819351196289,0.45030179619789124,-0.4327833950519562,0.9998719692230225,0.5313583612442017,0.459242045879364,-0.5952237844467163,0.9998286962509155,0.6653565764427185,0.5179439783096313,-0.3561987280845642,0.9567058682441711,0.5538156032562256,0.5270804166793823,-0.5909159183502197,0.9637029767036438,0.6408129930496216,0.5698281526565552,-0.44539836049079895,0.9326558709144592,0.6091721653938293,0.5804486274719238,-0.6474074721336365,0.9464008808135986,0.6406108736991882,0.5892776846885681,-0.47869881987571716,0.8873128294944763,0.6214913129806519,0.5948153734207153,-0.70183265209198,0.9187189340591431,0.6367865204811096,0.5879296660423279,-0.5207802057266235,0.8910279870033264,0.6294500231742859,0.5932825207710266,-0.7204179763793945,0.9226049184799194,0.6343297958374023,0.5798107385635376,-0.46284544467926025,0.8774356842041016,0.6266673803329468,0.5878263711929321,-0.6535941362380981,0.9013296961784363,0.6213296055793762,0.5434260368347168,0.04591895639896393,0.9993449449539185,0.5456562042236328,0.5481240749359131,-0.04579579457640648,0.9992314577102661,0.6542441844940186,0.634394109249115,-0.0686313733458519,0.9619613885879517,0.5101015567779541,0.6400066614151001,-0.15481090545654297,0.9799485802650452,0.6661872267723083,0.721270740032196,0.08539395779371262,0.9559638500213623,0.4782402515411377,0.7278470396995544,-0.02537125162780285,0.9790959358215332,0.6510637402534485,0.7300775051116943,0.09239061176776886,0.7524358034133911,0.47256502509117126,0.7396327257156372,-0.022373724728822708,0.7816576957702637,0.6998415589332581,0.7477334141731262,-0.09880978614091873,0.9495884776115417,0.4823806881904602,0.7584396600723267,-0.23790881037712097,0.9673187732696533
6,0.6172248721122742,0.4395785927772522,-0.8769556879997253,0.9993983507156372,0.6272754073143005,0.4291732907295227,-0.8645468950271606,0.998773992061615,0.6326065063476562,0.42851510643959045,-0.8646019101142883,0.9986447095870972,0.6377526521682739,0.4277176856994629,-0.8646693825721741,0.9989238381385803,0.6099004149436951,0.42831364274024963,-0.8771486282348633,0.9988418221473694,0.6032549738883972,0.42699551582336426,-0.8772588968276978,0.9987081289291382,0.5971437096595764,0.42551082372665405,-0.8772768378257751,0.9988372921943665,0.6401546597480774,0.4243752956390381,-0.6870959997177124,0.997173547744751,0.5866473317146301,0.4222237169742584,-0.7415163516998291,0.997694730758667,0.6240341067314148,0.4453698694705963,-0.7981997132301331,0.9988255500793457,0.6057729721069336,0.44429388642311096,-0.8143754005432129,0.9987111687660217,0.6763460636138916,0.45141488313674927,-0.45156440138816833,0.9998666048049927,0.5306436419487,0.45983773469924927,-0.5909317135810852,0.9998281002044678,0.6668233871459961,0.5191049575805664,-0.3786991536617279,0.9568721055984497,0.5532050132751465,0.5260956883430481,-0.5855873227119446,0.9648692607879639,0.6408848166465759,0.572189211845398,-0.4543537497520447,0.9332594275474548,0.6100565791130066,0.5795034170150757,-0.6392526626586914,0.9480745792388916,0.6411095261573792,0.5908575057983398,-0.4868040680885315,0.8879655003547668,0.6218029260635376,0.5946231484413147,-0.6920486092567444,0.9207934737205505,0.637000560760498,0.5892060995101929,-0.5280721187591553,0.891609787940979,0.6303544044494629,0.5930349826812744,-0.7095673084259033,0.9244713187217712,0.6340916752815247,0.5814820528030396,-0.47101184725761414,0.877966582775116,0.627307116985321,0.5875335931777954,-0.6451625227928162,0.9034492373466492,0.620890736579895,0.5413035154342651,0.040292903780937195,0.9993225336074829,0.5463927984237671,0.5451988577842712,-0.04015105590224266,0.9992014765739441,0.653953492641449,0.6284453272819519,-0.09861652553081512,0.962095320224762,0.5122935771942139,0.6374950408935547,-0.17330409586429596,0.9799146056175232,0.6626595854759216,0.7191886305809021,0.035457439720630646,0.9560070037841797,0.4798394441604614,0.7264512777328491,-0.062236230820417404,0.978848397731781,0.6469880938529968,0.7270129919052124,0.04097089171409607,0.7542590498924255,0.4781424105167389,0.7348858714103699,-0.060517534613609314,0.7812646627426147,0.6960573792457581,0.7470790147781372,-0.1511433869600296,0.9494604468345642,0.4790869355201721,0.7556678056716919,-0.27666422724723816,0.9669573903083801
7,0.617467999458313,0.44006186723709106,-0.8803690671920776,0.9993733167648315,0.6280750036239624,0.42962008714675903,-0.8679488897323608,0.9987228512763977,0.633449375629425,0.4288196563720703,-0.8680122494697571,0.9985877871513367,0.6383458375930786,0.4279440939426422,-0.8680803179740906,0.9988782405853271,0.6098176836967468,0.4289359450340271,-0.881416916847229,0.9987873435020447,0.6028472781181335,0.4276328682899475,-0.8815159201622009,0.9986449480056763,0.5966445207595825,0.42616915702819824,-0.8815259337425232,0.9987847805023193,0.6414461731910706,0.42484426498413086,-0.6903252601623535,0.9970607161521912,0.5865857005119324,0.4225398600101471,-0.747678816318512,0.9976106286048889,0.6250742673873901,0.44589686393737793,-0.8014865517616272,0.9987951517105103,0.6058012843132019,0.4452829957008362,-0.8184990882873535,0.9986810088157654,0.6778119802474976,0.4504438042640686,-0.447656512260437,0.9998626708984375,0.5319322347640991,0.45892491936683655,-0.6059644222259521,0.9998279213905334,0.6685962677001953,0.5186887979507446,-0.3753398060798645,0.9565452933311462,0.5533624887466431,0.5257171392440796,-0.5971621870994568,0.9659422039985657,0.6455377340316772,0.5730326771736145,-0.46361902356147766,0.9335665702819824,0.607000470161438,0.5803429484367371,-0.6500656604766846,0.9496555924415588,0.6451366543769836,0.5913382768630981,-0.4978284239768982,0.8882099390029907,0.619147002696991,0.595503568649292,-0.7045811414718628,0.9227384924888611,0.6425747275352478,0.5884283185005188,-0.5418819785118103,0.8918232917785645,0.6293615102767944,0.593056857585907,-0.7231246829032898,0.9262326955795288,0.6385951042175293,0.5828120708465576,-0.4820678234100342,0.8780986070632935,0.6265080571174622,0.5876520872116089,-0.6564229726791382,0.9054116606712341,0.6214295625686646,0.5441995859146118,0.04800180718302727,0.999295711517334,0.5444445610046387,0.5469895601272583,-0.047844864428043365,0.9991733431816101,0.6532832384109497,0.6289337277412415,-0.07823316007852554,0.9613497853279114,0.5094480514526367,0.6377975344657898,-0.16742165386676788,0.9798258543014526,0.6603736281394958,0.7171422839164734,0.07158000022172928,0.9550148844718933,0.4768023192882538,0.7260700464248657,-0.05050181224942207,0.9785495400428772,0.647122323513031,0.724403977394104,0.07855719327926636,0.7525835633277893,0.47318235039711,0.738637387752533,-0.04840296506881714,0.7785890698432922,0.6932470798492432,0.7457598447799683,-0.10740794241428375,0.9484867453575134,0.48173102736473083,0.7582141160964966,-0.2628253400325775,0.9665195941925049
8,0.6185246109962463,0.4389409124851227,-0.936356782913208,0.9993627071380615,0.6289737820625305,0.4285452961921692,-0.923765242099762,0.9987044930458069,0.6341110467910767,0.4280239939689636,-0.923829972743988,0.9985663890838623,0.6389532089233398,0.4273661673069,-0.9238971471786499,0.9988619089126587,0.6112436652183533,0.42770805954933167,-0.9385606646537781,0.9987658262252808,0.6039878129959106,0.4264543056488037,-0.938689112663269,0.9986149668693542,0.5972995162010193,0.4250352382659912,-0.9386947751045227,0.9987614750862122,0.6419737339019775,0.4239407181739807,-0.737672746181488,0.9970173239707947,0.5862789750099182,0.4219198226928711,-0.8012619018554688,0.9975898861885071,0.6251984238624573,0.44539204239845276,-0.8537603616714478,0.9987969994544983,0.6062082052230835,0.4446339011192322,-0.8725794553756714,0.998682975769043,0.6788061857223511,0.45075076818466187,-0.48001205921173096,0.9998618364334106,0.5304274559020996,0.45995837450027466,-0.6468276381492615,0.9998300075531006,0.6714344024658203,0.5169010758399963,-0.4015026390552521,0.9560877680778503,0.5528118014335632,0.5269091725349426,-0.6364043951034546,0.9664213061332703,0.649168848991394,0.5718887448310852,-0.49910035729408264,0.9330663084983826,0.6086165308952332,0.5805205702781677,-0.6950423121452332,0.9501748085021973,0.6489484310150146,0.591364324092865,-0.5359082818031311,0.8875560760498047,0.6203221678733826,0.5962624549865723,-0.7531037330627441,0.9234189391136169,0.6443947553634644,0.5895100831985474,-0.5824795365333557,0.8911359310150146,0.6301060318946838,0.5938332080841064,-0.7737119793891907,0.9267869591712952,0.6417320966720581,0.5837062001228333,-0.5189863443374634,0.8771729469299316,0.6271947026252747,0.588505208492279,-0.7024444937705994,0.9058012962341309,0.6232088208198547,0.5442698001861572,0.05092187598347664,0.9992715716362,0.5444707870483398,0.5480684638023376,-0.05079727619886398,0.9991511106491089,0.6580780148506165,0.6377673149108887,-0.044894661754369736,0.9600057005882263,0.5092345476150513,0.638096809387207,-0.14922332763671875,0.9793986082077026,0.6685803532600403,0.7178155183792114,0.12880896031856537,0.9534369111061096,0.478116512298584,0.7257625460624695,-0.0018543261103332043,0.9779770374298096,0.6534733176231384,0.7253247499465942,0.13744354248046875,0.7500826716423035,0.47690752148628235,0.7382189035415649,0.0027829515747725964,0.7762112021446228,0.6982659101486206,0.7464743256568909,-0.05143782123923302,0.9467827081680298,0.48225805163383484,0.7578576803207397,-0.21219435334205627,0.9656137824058533
9,0.6167196035385132,0.43989863991737366,-0.9571687579154968,0.9993468523025513,0.6279683709144592,0.42905497550964355,-0.9458422064781189,0.9986737370491028,0.6332546472549438,0.42838844656944275,-0.9459100365638733,0.9985300898551941,0.6380898952484131,0.42758578062057495,-0.9459947943687439,0.9988362193107605,0.609509289264679,0.42839646339416504,-0.9581252932548523,0.9987308382987976,0.6023528575897217,0.4271415174007416,-0.9582491517066956,0.9985679388046265,0.5960213541984558,0.42571234703063965,-0.9582690000534058,0.9987247586250305,0.6406930685043335,0.42416447401046753,-0.7630466818809509,0.9969442486763,0.5862829089164734,0.4223816394805908,-0.8157082200050354,0.9975248575210571,0.6242044568061829,0.44582599401474,-0.8756693601608276,0.9987750053405762,0.6043789386749268,0.4450998902320862,-0.891344428062439,0.9986556172370911,0.6797778010368347,0.4505092203617096,-0.5096269249916077,0.9998571276664734,0.5322056412696838,0.45916810631752014,-0.6515603065490723,0.9998286962509155,0.6720117330551147,0.5167522430419922,-0.43063145875930786,0.9557888507843018,0.5537911057472229,0.52676922082901,-0.640024721622467,0.9665808081626892,0.6476758122444153,0.571520209312439,-0.511466920375824,0.9327008724212646,0.6101534366607666,0.5800973176956177,-0.6983302235603333,0.9504450559616089,0.6491833329200745,0.589934766292572,-0.5458988547325134,0.8869900107383728,0.6229682564735413,0.5934716463088989,-0.7545922994613647,0.9236673712730408,0.644997775554657,0.5878838896751404,-0.5916727185249329,0.8905084729194641,0.6324023008346558,0.5914067625999451,-0.7729756832122803,0.9269116520881653,0.6405566930770874,0.5808219909667969,-0.5301476716995239,0.8762965202331543,0.6287513971328735,0.5867224335670471,-0.7048683762550354,0.9057700037956238,0.6220343112945557,0.5439411401748657,0.043897319585084915,0.9992482662200928,0.5454087257385254,0.5457478165626526,-0.04378505423665047,0.9991247653961182,0.6576024293899536,0.6348246335983276,-0.06552885472774506,0.9597089290618896,0.5099231004714966,0.6375800967216492,-0.1516587883234024,0.9793424606323242,0.6641606092453003,0.717970609664917,0.1069771870970726,0.9529388546943665,0.4786641001701355,0.7255873680114746,-0.0015523621113970876,0.977774441242218,0.6500875949859619,0.7255855798721313,0.11571326851844788,0.7490897178649902,0.4780464172363281,0.7371684312820435,0.0035415031015872955,0.7750029563903809,0.6966055631637573,0.7460840940475464,-0.07802033424377441,0.9461994767189026,0.48094168305397034,0.7570566534996033,-0.21425755321979523,0.9653046727180481
