phase,score,confidence,key_frame,feedback
Address,88.1,1.0,303,No issues detected
Takeaway,93.5,1.0,316,No issues detected
Mid-backswing,80.9,1.0,320,Low hip-shoulder separation at mid-backswing
Top,0.0,1.0,338,No issues detected
Mid-downswing,83.7,1.0,343,Low hip-shoulder separation at mid-downswing
Impact,87.5,1.0,344,No issues detected
Follow-through,85.4,1.0,346,No issues detected
Finish,85.8,1.0,362,No issues detected
Overall,87.7,1.0,-1,OVERALL: 87.7/100
