phase,feedback,phase_score,key_frame
Address,Stance too wide at address — bring feet to shoulder width,81.3,95
Address,Hands positioned too far from body at address,81.3,95
Mid-backswing,Lead arm bent at mid-backswing checkpoint,71.5,125
Impact,Hip rotation low at impact position,80.7,149
Impact,Lead arm bent at impact position,80.7,149
Finish,Limited weight transfer at finish — lead knee over-flexed,72.4,177
