phase,score,confidence,key_frame,feedback
Address,95.76099043054391,1.0,2,"ADDRESS: 96/100 (EXCELLENT)
  ✗ weight_distribution: 1.23 vs target 0.90-1.20 (score 86)
    Fix: Center pressure between your feet with shoulder-width stance.
    Drill: Feet-line setup drill: align heels to a marked shoulder-width line."
Takeaway,83.35622637461597,1.0,27,"TAKEAWAY: 83/100 (GOOD)
  ✗ hip_lag: 10.67 vs target 1.00-10.00 (score 67)
    Fix: Let shoulders start first; keep hips quieter early.
    Drill: Pause-at-P2 drill with hips quiet: 8 reps."
Mid-backswing,100.0,1.0,31,"MID-BACKSWING: 100/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Top,85.40611147059674,1.0,42,"TOP: 85/100 (GOOD)
  ✗ wrist_angle: 135.61 vs target 145.00-180.00 (score 27)
    Fix: Preserve wrist set at the top into transition.
    Drill: Top-to-transition pump drill: 10 reps."
Mid-downswing,87.5,1.0,47,"MID-DOWNSWING: 88/100 (GOOD)
  ✗ kinematic_sequence: score 17
    Fix: Start down with lower body, then torso, then arms.
    Drill: Step-through sequencing drill: 2 x 8 reps."
Impact,100.0,1.0,51,"IMPACT: 100/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Follow-through,100.0,1.0,54,"FOLLOW-THROUGH: 100/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Finish,93.2597358112496,1.0,84,"FINISH: 93/100 (EXCELLENT)
  ✗ posture: -15.19 vs target -10.00-12.00 (score 74)
    Fix: Keep stable spine through the finish pose.
    Drill: Finish mirror holds: 2 x 8 reps."
Overall,93.6824755031214,1.0,-1,"OVERALL: 93.7/100 (raw=93.7, finish_rotation_penalty=0.0)"
