spine_angle,spine_lateral_tilt,shoulder_rotation,hip_rotation,hip_angle,x_factor,shoulder_rotation_3d,hip_rotation_3d,x_factor_3d,lead_arm_angle,trail_elbow_angle,arm_extension,wrist_hinge,wrist_angle,lag_angle,lead_knee_flex,trail_knee_flex,stance_width,shoulder_width,stance_width_ratio,head_lateral,head_vertical,head_displacement,frame
-1.7145222700987033,1.518068870557372,178.4819310052434,179.98829173476014,179.98829173476014,1.5063607295167287,167.85930484154363,179.443508151427,11.584203309883378,145.5285518791484,162.27405579591039,145.5285518791484,173.07695651305727,173.07695651305727,173.07695651305727,178.63530092780007,176.7635739245663,0.1433867422303886,0.12500826173289895,1.1470180352285675,0.0,0.0,0.0,0
-0.7039183413186774,0.47520935775282047,179.52479060356475,178.87545228162574,178.87545228162574,0.6493383219390125,169.1027202582352,176.3109131761223,7.208192917887118,146.583849277168,166.74874055709296,146.583849277168,175.58199984380042,175.58199984380042,175.58199984380042,174.98305705132498,175.3180744888367,0.1483135376974693,0.12510327067773963,1.1855287638660592,0.0,0.0,0.0,1
-1.4892264012328416,0.23388077081771122,179.76611921011317,177.74279142767259,177.74279142767259,2.023327782440589,173.7231268442542,0.0,173.7231268442542,146.6342190030149,167.07826416025938,146.6342190030149,175.38586213941608,175.38586213941608,175.38586213941608,170.6859914195515,176.02099319528216,0.14402750809520004,0.12338834514862207,1.1672698604476734,0.0,0.0,0.0,2
-1.8083028708483009,0.5840795880747244,179.41592036389616,179.6479382935723,179.6479382935723,0.23201792967614665,165.484577618138,168.59736872829373,3.11279111015574,144.0191213002444,163.84284435945278,144.0191213002444,176.9289563644367,176.9289563644367,176.9289563644367,170.97891660777856,175.10058612319415,0.13702706976972626,0.12561659227766067,1.0908356641174237,0.0,0.0,0.0,3
-2.88382214651623,0.7157163502556845,179.28428359015552,179.82333474574006,179.82333474574006,0.5390511555845308,178.89945496568546,0.0,178.89945496568546,142.36134968069564,163.11819082032468,142.36134968069564,178.94129846845334,178.94129846845334,178.94129846845334,174.55922798723586,171.62537470786194,0.1405729297844943,0.12012821073013005,1.1701907256271913,0.0,0.0,0.0,4
-2.9863340471234636,0.2863723358083115,179.7136276409947,179.2839012434723,179.2839012434723,0.4297263975224155,173.52829602438948,0.0,173.52829602438948,140.02713430728116,164.88527684927075,140.02713430728116,171.14978418615132,171.14978418615132,171.14978418615132,172.51930013422887,168.15227418863063,0.13747939517877864,0.12424358599294485,1.1065310375158923,0.0,0.0,0.0,5
-5.328327203639189,1.565012392613191,178.43498747792654,179.7241465141131,179.7241465141131,1.289159036186561,174.13293596086461,179.820696302014,5.687760341149385,140.98850336997901,163.89529567609065,140.98850336997901,174.08919350866836,174.08919350866836,174.08919350866836,167.40306962750392,176.40391186171624,0.1399139858191442,0.12150842662424366,1.1514754835651322,0.0,0.0,0.0,6
-8.590842458048861,1.448915223133111,178.55108465700044,179.86136912190986,179.86136912190986,1.3102844649094152,170.0806776636846,176.8842032212335,6.80352555754888,137.84340499909501,166.7998585705812,137.84340499909501,174.4947437123349,174.4947437123349,174.4947437123349,170.76716159614858,170.38024850833278,0.14056069487549044,0.12269758511136653,1.1455863886159339,0.0,0.0,0.0,7
-6.347596098323008,1.6773238956223626,178.32267596466664,178.81885663784558,178.81885663784558,0.4961806731789409,171.00896378571287,0.0,171.00896378571287,137.24647809568444,161.0968306896353,137.24647809568444,171.3015931147458,171.3015931147458,171.3015931147458,171.17414974730121,170.59587834298225,0.14591640598999495,0.12153154420369958,1.2006462596983152,0.0,0.0,0.0,8
-5.834973208145369,1.9005149007186846,178.09948494461662,179.83901397852682,179.83901397852682,1.7395290339102019,168.6492877937101,178.43927830642622,9.789990512716116,139.93978423495534,164.72418137744293,139.93978423495534,173.7632199486689,173.7632199486689,173.7632199486689,168.4670432399961,170.62314623345551,0.1499654291430301,0.1253053939485227,1.1967993751062653,0.0,0.0,0.0,9
-7.423074468106663,2.168079997812469,177.8319198178295,179.29632555160322,179.29632555160322,1.4644057337737308,166.648554246623,173.11584194400078,6.46728769737777,137.59563066472433,162.72389290713443,137.59563066472433,173.21922702710822,173.21922702710822,173.21922702710822,172.1903518119164,177.05346519681288,0.14656567677577428,0.12083498408626657,1.2129406541877932,0.0,0.0,0.0,10
-8.9297079965379,2.3869541368124425,177.61304566274654,178.83763570125396,178.83763570125396,1.224590038507415,166.94018146467738,170.31596584974935,3.3757843850719667,135.25939522964742,166.24151996657142,135.25939522964742,172.95510457705117,172.95510457705117,172.95510457705117,168.05739171836643,177.18437809848606,0.14944783004237783,0.1222063158219643,1.2229140270537238,0.0,0.0,0.0,11
-7.7031416470759275,2.0238500604824785,177.97614977230478,178.7590649330337,178.7590649330337,0.7829151607289191,169.07645685171983,179.07770046346155,10.001243611741728,139.815568586361,167.2226362706265,139.815568586361,174.48574362375282,174.48574362375282,174.48574362375282,173.394095412003,174.44097535605243,0.1505130147951185,0.12323956145966317,1.2213042695006615,0.0,0.0,0.0,12
-6.5902131515826925,2.210312613011863,177.7896872016525,178.78305028819284,178.78305028819284,0.9933630865403416,175.4078160691552,0.0,175.4078160691552,139.5915814690231,167.15536807910536,139.5915814690231,174.01150154255012,174.01150154255012,174.01150154255012,175.79112467987937,179.76857841834698,0.1504403949280714,0.11961382113410488,1.2577173852027645,0.0,0.0,0.0,13
-7.444664248860546,2.09073872060083,177.9092611054161,179.15741485786785,179.15741485786785,1.248153752451742,177.68021183829072,0.0,177.68021183829072,141.64566423463228,167.63216646717723,141.64566423463228,176.70017598247006,176.70017598247006,176.70017598247006,175.75402733414217,178.52810906613078,0.14608350856742877,0.12024082834011296,1.2149242352603804,0.0,0.0,0.0,14
-7.767030918386679,2.0024904640741292,177.99750937010054,179.07229697804684,179.07229697804684,1.0747876079462912,167.03755135012574,172.24386708963874,5.206315739513002,139.35890472647645,169.70322424677707,139.35890472647645,172.95957682007997,172.95957682007997,172.95957682007997,170.71802943394974,179.34974418318123,0.1470136642514523,0.12388774060858543,1.1866682826127948,0.0,0.0,0.0,15
-7.198732924499487,1.8214907638552222,178.1785090852402,179.39154513550005,179.39154513550005,1.2130360502598592,178.4539588020797,0.0,178.4539588020797,142.32880019376708,170.5826742826152,142.32880019376708,179.29309037010384,179.29309037010384,179.29309037010384,170.37080379380473,176.44652645681802,0.13610441600173895,0.12072838473625652,1.1273604382719817,0.0,0.0,0.0,16
-4.985316882208543,1.4395723580116524,178.56042752528526,179.91351043226283,179.91351043226283,1.353082906977562,177.81972603713476,0.0,177.81972603713476,144.92558727270344,172.69878103087515,144.92558727270344,179.72465611840354,179.72465611840354,179.72465611840354,171.40953941293614,178.71321513785963,0.13602265499523042,0.12342973286827294,1.102024940134542,0.0,0.0,0.0,17
