phase,feedback,phase_score,key_frame
Address,Too much forward bend at address — stand slightly more upright,45.6,86
Address,Stance too wide at address — bring feet to shoulder width,45.6,86
Takeaway,Lead arm bent at takeaway checkpoint,52.1,106
Takeaway,Hip-shoulder separation low at takeaway position,52.1,106
Mid-backswing,Low hip-shoulder separation at mid-backswing,60.3,110
Mid-backswing,3D hip-shoulder separation low at mid-backswing,60.3,110
Top,3D shoulder rotation low at top of swing,78.1,124
Top,Wrist hinge low at top of swing,78.1,124
Mid-downswing,Low hip-shoulder separation at mid-downswing,60.7,129
Mid-downswing,Shoulder rotation high relative to hips at mid-downswing,60.7,129
Impact,Lead arm bent at impact position,62.2,132
Finish,Limited weight transfer at finish — lead knee over-flexed,30.2,146
