phase,score,confidence,key_frame,feedback
Address,100.0,1.0,113,No issues detected
Takeaway,96.4,1.0,131,No issues detected
Mid-backswing,94.5,1.0,142,No issues detected
Top,96.3,1.0,157,No issues detected
Mid-downswing,89.6,1.0,162,No issues detected
Impact,94.9,1.0,165,No issues detected
Follow-through,98.1,1.0,167,No issues detected
Finish,94.5,1.0,186,No issues detected
Overall,95.5,1.0,-1,OVERALL: 95.5/100
