phase,score,confidence,key_frame,feedback
Address,79.3,1.0,95,Spine angle too upright at address — add more forward tilt | Shoulders tilted excessively at address — level them out
Takeaway,88.5,1.0,109,No issues detected
Mid-backswing,73.7,1.0,115,Low hip-shoulder separation at mid-backswing | 3D hip-shoulder separation low at mid-backswing
Top,84.2,1.0,123,No issues detected
Mid-downswing,84.2,1.0,128,No issues detected
Impact,69.5,1.0,131,Lead arm bent at impact position | 3D hip rotation low at impact position
Follow-through,70.1,1.0,132,3D hip rotation low at follow-through | Shoulder rotation low at follow-through checkpoint
Finish,58.7,1.0,165,Shoulder rotation low at finish position | Hip rotation low at finish position
Overall,76.0,1.0,-1,OVERALL: 76.0/100
