spine_angle,spine_lateral_tilt,shoulder_rotation,hip_rotation,hip_angle,x_factor,lead_arm_angle,trail_elbow_angle,arm_extension,wrist_hinge,wrist_angle,lag_angle,lead_knee_flex,trail_knee_flex,stance_width,shoulder_width,stance_width_ratio,head_lateral,head_vertical,head_displacement,frame
-4.537772507906652,7.7651660149387745,172.23483398157467,180.0,180.0,7.765166018425333,179.6688139251105,179.28828765073658,179.6688139251105,173.65980815918115,173.65980815918115,173.65980815918115,176.23948928063064,172.35959323252013,33.0,22.20360331117452,1.4862452513970772,0.0,0.0,0.0,0
-4.685899839502703,10.784297862547652,169.21570213243743,175.2363583092738,175.2363583092738,6.020656176836383,176.98721246402982,176.85097954750006,176.98721246402982,171.702854989666,171.702854989666,171.702854989666,177.00034467761034,169.99678491567346,33.0,21.37755832643195,1.5436748893703598,0.0,0.0,0.0,1
-4.685899839502703,8.13010235033626,171.86989764584402,180.0,180.0,8.13010235415598,177.17082412870744,176.13926734913233,177.17082412870744,164.20759645145236,164.20759645145236,164.20759645145236,175.95724634581197,169.99678491567346,33.0,21.213203435596427,1.5556349178770712,0.0,0.0,0.0,2
-3.7517290705259754,10.784297862547652,169.21570213243743,175.6012946450045,175.6012946450045,6.385592512567058,176.67259572967382,175.17478305093144,176.67259572967382,173.65980819714477,173.65980819714477,173.65980819714477,176.3512963873038,174.20720349682452,34.0,21.37755832643195,1.5904529163209766,0.0,0.0,0.0,3
-3.8140748342903543,8.13010235033626,171.86989764584402,175.6012946450045,175.6012946450045,3.7313969991604665,176.8201698483538,173.0887728667555,176.8201698483538,176.8201697847899,176.8201697847899,176.8201697847899,176.63353932190438,173.7827980783039,34.058772731852805,21.213203435596427,1.605545943082111,0.0,0.0,0.0,4
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,173.6598082391044,173.0887728667555,173.6598082391044,176.87786944253324,176.87786944253324,176.87786944253324,176.23948928063064,176.24144430182304,33.015148038438355,21.37755832643195,1.544383484720678,0.0,0.0,0.0,5
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,173.99099402751045,176.13926734913233,173.99099402751045,173.99099399502143,173.99099399502143,173.99099399502143,176.23948928063064,174.20720349682452,34.0147027033899,21.37755832643195,1.5911406797763963,0.0,0.0,0.0,6
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,173.99099402751045,173.0887728667555,173.99099402751045,174.69907342008477,174.69907342008477,174.69907342008477,176.23948928063064,178.4272450911593,34.0147027033899,21.37755832643195,1.5911406797763963,0.0,0.0,0.0,7
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,179.99957412524458,173.0887728667555,179.99957412524458,173.55046525236304,173.55046525236304,173.55046525236304,175.95724634581197,174.20720349682452,34.0,21.37755832643195,1.5904529163209766,0.0,0.0,0.0,8
-3.8140748342903543,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,179.99957412524458,171.97276247667395,179.99957412524458,171.702854989666,171.702854989666,171.702854989666,176.3512963873038,172.58591553289153,33.0,21.37755832643195,1.5436748893703598,0.0,0.0,0.0,9
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,177.00378151657458,176.13926734913233,177.00378151657458,174.69907342008477,174.69907342008477,174.69907342008477,176.23948928063064,178.4272450911593,34.0147027033899,21.37755832643195,1.5911406797763963,0.0,0.0,0.0,10
-3.6913859864512757,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,179.99957412524458,173.0887728667555,179.99957412524458,171.702854989666,171.702854989666,171.702854989666,175.95724634581197,174.20720349682452,34.0,21.37755832643195,1.5904529163209766,0.0,0.0,0.0,11
-3.8140748342903543,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,179.83295681136806,178.17008630322627,179.83295681136806,176.98721238138367,176.98721238138367,176.98721238138367,176.3512963873038,177.23383383413832,33.015148038438355,21.37755832643195,1.544383484720678,0.0,0.0,0.0,12
-2.815556684211228,10.784297862547652,169.21570213243743,175.2363583092738,175.2363583092738,6.020656176836383,179.701586893531,175.49911768443795,179.701586893531,174.4006606064572,174.4006606064572,174.4006606064572,174.59620863069625,171.9875479458599,33.015148038438355,21.37755832643195,1.544383484720678,0.0,0.0,0.0,13
-4.6106493186606095,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,176.67259572967382,174.96806575678684,176.67259572967382,173.65980819714477,173.65980819714477,173.65980819714477,173.08621136736014,171.9875479458599,33.0,21.37755832643195,1.5436748893703598,0.0,0.0,0.0,14
-3.7517290705259754,11.309932468511004,168.6900675259798,175.2363583092738,175.2363583092738,6.546290783294012,174.28940684666384,171.97276247667395,174.28940684666384,174.4006606064572,174.4006606064572,174.4006606064572,173.84815661280248,174.20720349682452,34.0147027033899,20.396078054371138,1.6677080071981307,0.0,0.0,0.0,15
-2.7702157972001924,10.784297862547652,169.21570213243743,180.0,180.0,10.784297867562572,177.00378151657458,179.134570548141,177.00378151657458,171.702854989666,171.702854989666,171.702854989666,174.1303995483497,171.9875479458599,33.015148038438355,21.37755832643195,1.544383484720678,0.0,0.0,0.0,16
-3.878524502847706,8.53076560574551,171.46923439005187,180.0,180.0,8.530765609948133,177.17082412870744,176.13926734913233,177.17082412870744,164.20759645145236,164.20759645145236,164.20759645145236,173.84815661280248,172.58591553289153,33.015148038438355,20.223748416156685,1.6324940037197913,0.0,0.0,0.0,17
-4.685899839502703,8.13010235033626,171.86989764584402,180.0,180.0,8.13010235415598,177.17082412870744,177.38953816205196,177.17082412870744,174.69907342008477,174.69907342008477,174.69907342008477,173.84815661280248,171.9875479458599,33.0,21.213203435596427,1.5556349178770712,0.0,0.0,0.0,18
-4.685899839502703,8.13010235033626,171.86989764584402,180.0,180.0,8.13010235415598,173.99099402751045,178.1193217097543,173.99099402751045,149.13910830161305,149.13910830161305,149.13910830161305,174.1303995483497,171.9875479458599,33.015148038438355,21.213203435596427,1.5563490032568301,0.0,0.0,0.0,19
-3.7517290705259754,8.13010235033626,171.86989764584402,180.0,180.0,8.13010235415598,176.67259572967382,173.09967181575408,176.67259572967382,164.53878223831876,164.53878223831876,164.53878223831876,173.84815661280248,179.49888341563093,34.0,21.213203435596427,1.602775369933952,0.0,0.0,0.0,20
-3.6913859864512757,5.440332028430415,174.5596679689945,180.0,180.0,5.440332031005511,173.71750789601876,176.33221191587924,173.71750789601876,178.1523895431191,178.1523895431191,178.1523895431191,174.1303995483497,177.81419917032284,33.0,21.095023109728988,1.5643500276203517,0.0,0.0,0.0,21
-3.8140748342903543,5.440332028430415,174.5596679689945,180.0,180.0,5.440332031005511,173.45370920044238,176.05481374238246,173.45370920044238,176.82016976572078,176.82016976572078,176.82016976572078,174.1303995483497,175.2432805874327,34.0147027033899,21.095023109728988,1.6124515488953346,0.0,0.0,0.0,22
-6.34019174590991,8.53076560574551,171.46923439005187,180.0,180.0,8.530765609948133,173.0572049443377,173.29016317643652,173.0572049443377,172.2664018493639,172.2664018493639,172.2664018493639,175.81508386218312,178.3939969788992,34.0,20.223748416156685,1.6811917990448098,0.0,0.0,0.0,23
-5.35582504285519,5.710593134663218,174.28940686250036,180.0,180.0,5.710593137499643,172.83374882706718,176.8201698500266,172.83374882706718,176.37851518152007,176.37851518152007,176.37851518152007,173.34704012424714,172.8749836439915,34.0147027033899,20.09975124224178,1.6922947093485123,0.0,0.0,0.0,24
