phase,score,confidence,key_frame,feedback
Address,84.61538461538463,1.0,27,"ADDRESS: 85/100 (GOOD)
  ✗ weight_distribution: 1.34 vs target 0.90-1.20 (score 50)
    Fix: Center pressure between your feet with shoulder-width stance.
    Drill: Feet-line setup drill: align heels to a marked shoulder-width line."
Takeaway,93.11727099123885,1.0,47,"TAKEAWAY: 93/100 (EXCELLENT)
  ✗ hip_lag: 0.72 vs target 1.00-10.00 (score 86)
    Fix: Let shoulders start first; keep hips quieter early.
    Drill: Pause-at-P2 drill with hips quiet: 8 reps."
Mid-backswing,100.0,1.0,52,"MID-BACKSWING: 100/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Top,97.61262114326817,1.0,84,"TOP: 98/100 (EXCELLENT)
  ✗ posture: -10.86 vs target -8.00-12.00 (score 88)
    Fix: Maintain spine posture at the top without standing up.
    Drill: Top freeze with posture check: 8 reps."
Mid-downswing,87.5,1.0,87,"MID-DOWNSWING: 88/100 (GOOD)
  ✗ upper_body_lag: 0.10 vs target 0.00-5.00 (score 75)
    Fix: Let torso follow hips; avoid throwing arms early.
    Drill: Split-grip transition drill: 2 x 8 reps.
  ✗ kinematic_sequence: score 67
    Fix: Start down with lower body, then torso, then arms.
    Drill: Step-through sequencing drill: 2 x 8 reps."
Impact,85.0,1.0,91,"IMPACT: 85/100 (GOOD)
  ✗ arm_extension: 146.31 vs target 155.00-175.00 (score 50)
    Fix: Extend lead arm through strike for compression.
    Drill: One-arm extension drill: 2 x 8 reps."
Follow-through,95.0,1.0,93,"FOLLOW-THROUGH: 95/100 (EXCELLENT)
  ✗ deceleration: 0.09 vs target 10.00-20.00 (score 50)
    Fix: Decelerate smoothly after release.
    Drill: Three-quarter finish hold drill: 8 reps."
Finish,80.0,1.0,120,"FINISH: 80/100 (GOOD)
  ✗ rotation: 0.83 vs target 160.00-175.00 (score 0)
    Fix: Complete body rotation fully toward target.
    Drill: Step-and-turn finish drill: 2 x 8 reps."
Overall,54.64492983229901,1.0,-1,"OVERALL: 54.6/100 (raw=89.6, finish_rotation_penalty=35.0)"
