phase,score,confidence,key_frame,feedback
Address,72.8,1.0,109,Spine angle too upright at address — add more forward tilt | Trail leg too straight at address — add knee flex
Takeaway,73.3,1.0,117,Lead arm bent at takeaway checkpoint | Shoulder rotation low at takeaway checkpoint
Mid-backswing,81.4,1.0,122,Trail knee relatively straight at mid-backswing | Shoulder rotation low at mid-backswing checkpoint
Top,0.0,1.0,125,No issues detected
Mid-downswing,77.7,1.0,127,No issues detected
Impact,84.2,1.0,158,Lead arm bent at impact position
Follow-through,69.4,1.0,192,No issues detected
Finish,52.3,1.0,192,No issues detected
Overall,72.8,1.0,-1,OVERALL: 72.8/100
