phase,score,confidence,key_frame,feedback
Address,77.35684274111682,1.0,93,"ADDRESS: 77/100 (GOOD)
  ✗ weight_distribution: 1.58 vs target 0.90-1.20 (score 50)
    Fix: Center pressure between your feet with shoulder-width stance.
    Drill: Feet-line setup drill: align heels to a marked shoulder-width line.
  ✗ posture: -9.04 vs target -5.00-10.00 (score 87)
    Fix: Set your chest over the ball with a neutral spine and soft knees.
    Drill: Mirror setup holds: 3 x 20s maintaining neutral posture."
Takeaway,88.66237629768534,1.0,119,"TAKEAWAY: 89/100 (GOOD)
  ✗ hip_lag: 0.55 vs target 1.00-10.00 (score 77)
    Fix: Let shoulders start first; keep hips quieter early.
    Drill: Pause-at-P2 drill with hips quiet: 8 reps."
Mid-backswing,90.0,1.0,130,"MID-BACKSWING: 90/100 (EXCELLENT)
  ✗ shaft_plane: 142.16 vs target 155.00-180.00 (score 50)
    Fix: Keep lead arm structure and shaft on a repeatable plane.
    Drill: Pump-to-top drill with mirror feedback: 8 reps."
Top,89.60385867043436,1.0,185,"TOP: 90/100 (EXCELLENT)
  ✗ posture: -20.20 vs target -8.00-12.00 (score 48)
    Fix: Maintain spine posture at the top without standing up.
    Drill: Top freeze with posture check: 8 reps."
Mid-downswing,87.5,1.0,193,"MID-DOWNSWING: 88/100 (GOOD)
  ✗ kinematic_sequence: score 17
    Fix: Start down with lower body, then torso, then arms.
    Drill: Step-through sequencing drill: 2 x 8 reps."
Impact,62.478804308845454,1.0,205,"IMPACT: 62/100 (ACCEPTABLE)
  ✗ x_factor_unwind: 26.48 vs target 0.00-18.00 (score 17)
    Fix: Unwind through impact with chest and hips synced.
    Drill: Slow-motion impact checkpoints: 10 reps."
Follow-through,92.17881257376234,1.0,211,"FOLLOW-THROUGH: 92/100 (EXCELLENT)
  ✗ deceleration: 25.44 vs target 10.00-20.00 (score 22)
    Fix: Decelerate smoothly after release.
    Drill: Three-quarter finish hold drill: 8 reps."
Finish,98.53531098767277,1.0,253,"FINISH: 99/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Overall,80.27491806109803,1.0,-1,"OVERALL: 80.3/100 (raw=80.3, finish_rotation_penalty=0.0)"
