phase,score,confidence,key_frame,feedback
Address,96.01552403338309,1.0,51,"ADDRESS: 96/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Takeaway,99.95903532418636,1.0,74,"TAKEAWAY: 100/100 (EXCELLENT)
  ✓ No critical issues detected in this phase."
Mid-backswing,82.73500259181871,1.0,81,"MID-BACKSWING: 83/100 (GOOD)
  ✗ wrist_hinge: 147.06 vs target 150.00-180.00 (score 50)
    Fix: Set wrists progressively through mid-backswing.
    Drill: Half-swing hinge checkpoints: 10 reps."
Top,89.95729860003968,1.0,94,"TOP: 90/100 (EXCELLENT)
  ✗ wrist_angle: 124.53 vs target 130.00-180.00 (score 50)
    Fix: Preserve wrist set at the top into transition.
    Drill: Top-to-transition pump drill: 10 reps."
Mid-downswing,95.0,1.0,98,"MID-DOWNSWING: 95/100 (EXCELLENT)
  ✗ kinematic_sequence: score 67
    Fix: Start down with lower body, then torso, then arms.
    Drill: Step-through sequencing drill: 2 x 8 reps."
Impact,57.638093113017355,0.8,101,"IMPACT: 58/100 (NEEDS_WORK)
  ✗ x_factor_unwind: 11.82 vs target 0.00-18.00 (score 34)
    Fix: Unwind through impact with chest and hips synced.
    Drill: Slow-motion impact checkpoints: 10 reps."
Follow-through,79.49238589574301,1.0,103,"FOLLOW-THROUGH: 79/100 (GOOD)
  ✗ deceleration: 7.41 vs target 10.00-20.00 (score 50)
    Fix: Decelerate smoothly after release.
    Drill: Three-quarter finish hold drill: 8 reps."
Finish,95.2578534700593,1.0,146,"FINISH: 95/100 (EXCELLENT)
  ✗ rotation: 179.62 vs target 160.00-175.00 (score 77)
    Fix: Complete body rotation fully toward target.
    Drill: Step-and-turn finish drill: 2 x 8 reps."
Overall,81.51903521760576,1.0,-1,"OVERALL: 81.5/100 (raw=81.5, finish_rotation_penalty=0.0)"
