phase,feedback,phase_score,key_frame
Mid-backswing,Low hip-shoulder separation at mid-backswing,74.8,57
Mid-backswing,Limited wrist hinge at mid-backswing,74.8,57
Top,Low hip-shoulder separation at top of swing,74.7,72
Top,Limited wrist hinge at top of swing,74.7,72
Mid-downswing,Low hip-shoulder separation at mid-downswing,78.8,77
Mid-downswing,Shoulder rotation high relative to hips at mid-downswing,78.8,77
