phase,feedback,phase_score,key_frame
Address,Stance too wide at address — bring feet to shoulder width,81.2,71
Address,Spine angle too upright at address — add more forward tilt,81.2,71
Impact,Lead arm bent at impact position,74.4,161
Follow-through,Lead arm bent at follow-through checkpoint,75.5,166
