spine_angle,spine_lateral_tilt,shoulder_rotation,hip_rotation,x_factor,lead_arm_angle,trail_elbow_angle,wrist_hinge,lead_knee_flex,trail_knee_flex,stance_width,shoulder_width,stance_width_ratio,head_lateral,head_vertical,frame
-6.34019174590991,9.462322202863836,170.53767779197437,180.0,9.462322208025626,167.86867892119005,174.9078848437957,177.51044679179213,172.71833118010974,179.51030421589246,19.026297590440446,18.24828759089466,1.042634684774896,0.0,0.0,0
-6.632514615138462,12.094757068627352,167.90524292298792,180.0,12.094757077012076,153.56606021177205,175.8918877789036,171.41637844906856,160.50946948773785,176.73796649660204,10.198039027185569,14.317821063276353,0.7122619409052264,0.0,0.0,1
-9.03948280335512,9.462322200282944,170.53767779197437,180.0,9.462322208025626,156.44055909609997,163.3549617758594,160.01689344444617,163.3296419594375,169.69515352340457,17.11724276862369,12.165525060596439,1.4070286871542719,0.0,0.0,2
-9.462322208025617,-23.962488950951055,-23.962488974578186,0.0,23.962488974578186,179.3097225156772,138.36646066075335,164.74488123552348,172.4486231991042,178.522785744866,19.026297590440446,9.848857801796104,1.9318278275529983,0.0,0.0,3
-4.864514437760526,-63.434948593738895,-63.43494882292201,-45.0,18.43494882292201,178.17203166025047,143.2671733324494,174.8055709020636,173.45370920315304,178.67802427681826,18.027756377319946,2.23606797749979,8.062257712243037,0.0,0.0,4
-10.304846468766033,9.462322200282944,170.53767779197437,180.0,9.462322208025626,168.69006750945536,163.97102168313324,168.6900674557509,177.27368897429878,156.1612598133804,3.1622776601683795,12.165525060596439,0.25993762224135075,0.0,0.0,5
-9.03948280335512,17.102728956664095,162.89727103094762,180.0,17.10272896905238,165.96375652049332,172.99873241542443,165.96375648575264,173.99099402826022,165.52970589415511,3.0,13.601470508735444,0.22056438646598014,0.0,0.0,6
-5.31454566994475,10.007979795673307,169.9920201985587,180.0,10.007979801441309,153.56606021177205,178.6677800029294,171.41637844906856,178.73049515164618,179.51030421589246,19.026297590440446,17.26267650163207,1.1021638259640676,0.0,0.0,7
-7.943471810590411,9.462322202863836,170.53767779197437,180.0,9.462322208025626,153.56606021177205,178.6677800029294,171.41637844906856,175.47754583319897,179.51030421589246,19.026297590440446,18.24828759089466,1.042634684774896,0.0,0.0,8
-7.765166018425333,10.007979795673307,169.9920201985587,-173.6598082540901,343.65182845264883,155.3861545939798,177.44890484740012,177.39743751131667,177.46923694658966,179.99957875375864,18.027756377319946,17.26267650163207,1.0443198866162118,0.0,0.0,9
-9.246112745563252,12.094757068627352,167.90524292298792,180.0,12.094757077012076,164.7448812854262,178.6677800029294,164.74488125087817,178.1221225049938,170.48489495116277,18.027756377319946,14.317821063276353,1.259113120987944,0.0,0.0,10
-6.34019174590991,10.61965526966882,169.38034472384487,180.0,10.619655276155129,146.30993247004747,171.95710574467455,167.47119224423898,176.15256839349965,179.51030421589246,18.0,16.278820596099706,1.1057312096218668,0.0,0.0,11
-7.943471810590411,11.3099324666746,168.6900675259798,180.0,11.3099324740202,153.8038006713741,176.06521789966072,157.38013502551536,172.71833118010974,179.99957875375864,17.0,15.297058540778355,1.111324765056547,0.0,0.0,12
-5.31454566994475,7.125016344494429,172.8749836510982,-172.8749836510982,345.7499673021964,161.56505116858492,176.06521789966072,175.60129450218685,175.43235220986975,179.99957875375864,19.026297590440446,16.1245154965971,1.179960885191008,0.0,0.0,13
-6.4830736928972374,7.125016344494429,172.8749836510982,180.0,7.125016348901795,162.3874221479745,169.79602626260453,167.471192244239,175.47754583319897,173.48019823411175,18.027756377319946,16.1245154965971,1.1180339880565195,0.0,0.0,14
-4.085616779974877,3.3664606614540844,176.63353933657018,-174.28940686250036,350.92294619907057,155.55604521306344,177.44890484740012,169.59228862489542,176.52221345420605,171.1241294546239,18.027756377319946,17.029386365926403,1.0586263051030946,0.0,0.0,15
-7.943471810590411,3.3664606614540844,176.63353933657018,180.0,3.3664606634298195,155.77225467624035,174.9078848437957,152.1027289409205,175.60129462303254,176.54668372223486,17.0,17.029386365926403,0.9982743725887889,0.0,0.0,16
