phase,score,confidence,key_frame,feedback
Address,76.6,1.0,88,Stance too wide at address — bring feet to shoulder width | Shoulders tilted excessively at address — level them out
Takeaway,84.9,1.0,106,No issues detected
Mid-backswing,72.0,1.0,115,Lead arm bent at mid-backswing checkpoint | Trail knee relatively straight at mid-backswing
Top,0.0,1.0,125,No issues detected
Mid-downswing,80.4,1.0,129,No issues detected
Impact,81.0,1.0,132,No issues detected
Follow-through,68.9,1.0,134,No issues detected
Finish,57.5,1.0,162,Limited weight transfer at finish — lead knee over-flexed
Overall,76.4,1.0,-1,OVERALL: 76.4/100
