phase,score,confidence,key_frame,feedback
Address,93.1,1.0,30,No issues detected
Takeaway,91.7,1.0,53,No issues detected
Mid-backswing,79.9,1.0,59,No issues detected
Top,98.5,1.0,71,No issues detected
Mid-downswing,89.5,1.0,75,No issues detected
Impact,83.2,1.0,79,No issues detected
Follow-through,70.8,1.0,82,No issues detected
Finish,86.9,1.0,110,No issues detected
Overall,86.7,1.0,-1,OVERALL: 86.7/100
