phase,feedback,phase_score,key_frame
Address,Spine angle too upright at address — add more forward tilt,72.5,0
Address,Trail leg too straight at address — add knee flex,72.5,0
Takeaway,Shoulder rotation low at takeaway checkpoint,67.6,2
Takeaway,Hip-shoulder separation low at takeaway position,67.6,2
Mid-backswing,Low hip-shoulder separation at mid-backswing,77.0,7
Mid-backswing,Shoulder rotation low at mid-backswing checkpoint,77.0,7
