phase,score,confidence,key_frame,feedback
Address,88.5,1.0,95,No issues detected
Takeaway,89.9,1.0,117,No issues detected
Mid-backswing,73.4,1.0,125,Mid-backswing: lead arm angle is the largest measurable deviation in this phase | Mid-backswing: lead knee flex is the largest measurable deviation in this phase
Top,86.9,1.0,141,No issues detected
Mid-downswing,81.4,1.0,146,Mid-downswing: arm extension is the largest measurable deviation in this phase | Mid-downswing: lead arm angle is the largest measurable deviation in this phase
Impact,76.8,1.0,149,Hip rotation low at impact position
Follow-through,84.0,1.0,151,Follow-through: stance width ratio is the largest measurable deviation in this phase | Follow-through: lead knee flex is the largest measurable deviation in this phase
Finish,84.0,1.0,177,"Finish: phase score is below target; review posture, rotation, and balance checkpoints"
Overall,83.1,1.0,-1,OVERALL: 83.1/100
