phase,score,confidence,key_frame,feedback
Address,94.2,1.0,116,No issues detected
Takeaway,95.5,1.0,140,No issues detected
Mid-backswing,78.9,1.0,146,No issues detected
Top,0.0,1.0,165,No issues detected
Mid-downswing,85.7,1.0,170,No issues detected
Impact,89.9,1.0,173,No issues detected
Follow-through,88.9,1.0,175,No issues detected
Finish,83.7,1.0,207,No issues detected
Overall,89.1,1.0,-1,OVERALL: 89.1/100
