spine_angle,spine_lateral_tilt,shoulder_rotation,hip_rotation,hip_angle,x_factor,lead_arm_angle,trail_elbow_angle,arm_extension,wrist_hinge,wrist_angle,lag_angle,lead_knee_flex,trail_knee_flex,stance_width,shoulder_width,stance_width_ratio,head_lateral,head_vertical,head_displacement,frame
-1.567403845218512,4.3432399514155495,175.65676004831062,177.4266405368232,177.4266405368232,1.7698804885125696,166.48021696409208,170.9543340874564,166.48021696409208,171.82349178629397,171.82349178629397,171.82349178629397,179.7338660036944,178.1715757287703,179.3376703316958,158.45504094221806,1.1317889872987685,0.0,0.0,0.0,0
-2.2845244580078736,4.262611122526267,175.73738887720995,177.4551956201869,177.4551956201869,1.7178067429769612,163.73269571980717,168.6142886142803,163.73269571980717,172.2108878813412,172.2108878813412,172.2108878813412,176.75867232160945,179.8872020664585,184.09780009549272,161.4465855941215,1.1403016013414715,0.0,0.0,0.0,1
-1.9854585845169266,5.000644597247478,174.99935540244155,176.85504253530198,176.85504253530198,1.8556871328604245,161.224395120364,169.47446198629922,161.224395120364,168.06233314019218,168.06233314019218,168.06233314019218,176.72827391365036,178.09967973961156,180.33579788827288,160.61133210331082,1.1228086805297555,0.0,0.0,0.0,2
-2.2196555531978914,4.262611122526267,175.73738887720995,178.0474909506004,178.0474909506004,2.3101020733904534,162.13129830661885,169.81043663404853,162.13129830661885,168.85627024869055,168.85627024869055,168.85627024869055,176.47613374459667,178.49990526510123,183.02458851203573,161.4465855941215,1.133654129798849,0.0,0.0,0.0,3
-1.9749340108819766,4.9697407278031696,175.0302592718897,176.82016988013575,176.82016988013575,1.7899106082460605,161.5140127266356,168.96218702311089,161.5140127266356,173.16159664055894,173.16159664055894,173.16159664055894,176.59125846642894,178.02938183505736,181.1767093199344,161.60754932861275,1.121090630118515,0.0,0.0,0.0,4
-2.2724497327829347,3.219494896652034,176.78050510314716,175.50284838533221,175.50284838533221,1.2776567178149492,160.467372544832,170.06267918086854,160.467372544832,173.53861165010198,173.53861165010198,173.53861165010198,177.45966202301386,177.67466542241903,182.0686683644388,160.25292509030842,1.1361331985077654,0.0,0.0,0.0,5
-2.1610794882263713,3.9085442942174398,176.09145570554054,174.97592474146046,174.97592474146046,1.1155309640800795,160.75725773196345,168.0850387870799,160.75725773196345,168.72564391296132,168.72564391296132,168.72564391296132,176.41652443429487,177.50371431858719,184.04347312523745,161.37533888422976,1.140468391182528,0.0,0.0,0.0,6
-2.8624052261117474,3.957553113879741,176.04244688587215,175.4519575908746,175.4519575908746,0.5904892949975533,160.3845854355241,168.3363943665653,160.3845854355241,172.3481374200969,172.3481374200969,172.3481374200969,178.0172584285592,177.96733478983256,184.06792224611002,159.38004893963358,1.1548993958728055,0.0,0.0,0.0,7
-1.9491041598173389,2.844655604596999,177.1553443952266,177.4551956201869,177.4551956201869,0.2998512249603209,162.6626338802168,168.26208946374118,162.6626338802168,171.46751868993985,171.46751868993985,171.46751868993985,177.25403830531724,179.84919328548787,182.0686683644388,161.19863522995473,1.1294678028347922,0.0,0.0,0.0,8
-3.222365954301515,3.9085442942174398,176.09145570554054,176.09950625761812,176.09950625761812,0.008050552077577322,161.29864721391965,169.25838891873585,161.29864721391965,171.25054926992632,171.25054926992632,171.25054926992632,175.65632223384765,176.85113742982864,182.0988742414406,161.37533888422976,1.128418229756863,0.0,0.0,0.0,9
-1.8676788394341723,3.532294583673396,176.4677054161091,176.09950625761812,176.09950625761812,0.36819915849099516,161.01462830699913,166.79214063906596,161.01462830699913,176.68221882962243,176.68221882962243,176.68221882962243,179.35414565105918,177.06592444987155,176.22996340009834,162.30834852218786,1.0857726358120736,0.0,0.0,0.0,10
-2.8775248403571956,4.3432399514155495,175.65676004831062,176.14319901441016,176.14319901441016,0.4864389660995414,162.4428883273392,169.9866266391594,162.4428883273392,168.92633744186182,168.92633744186182,168.92633744186182,177.4398667378948,177.84150601792487,183.06829326784035,158.45504094221806,1.1553327187807447,0.0,0.0,0.0,11
-2.4047090230081913,3.9085442942174398,176.09145570554054,177.4266405368232,177.4266405368232,1.3351848312826462,164.14306495857775,171.19707287869673,164.14306495857775,168.4825824227688,168.4825824227688,168.4825824227688,177.10273076342872,178.50814741152587,182.0988742414406,161.37533888422976,1.128418229756863,0.0,0.0,0.0,12
