Video,Phase,Start_Frame,End_Frame,Duration,Key_Frame,Image_Path
B2B_F49_I_cleaned,Address,29,35,7,32,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Address.jpg
B2B_F49_I_cleaned,Takeaway,45,51,7,48,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Takeaway.jpg
B2B_F49_I_cleaned,Mid-backswing,55,61,7,58,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Mid-backswing.jpg
B2B_F49_I_cleaned,Top,67,73,7,70,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Top.jpg
B2B_F49_I_cleaned,Mid-downswing,69,75,7,72,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Mid-downswing.jpg
B2B_F49_I_cleaned,Impact,74,80,7,77,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Impact.jpg
B2B_F49_I_cleaned,Follow-through,77,83,7,80,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Follow-through.jpg
B2B_F49_I_cleaned,Finish,98,104,7,101,data\keyframes\B2B_F49_I_nn\B2B_F49_I_cleaned_Finish.jpg
