Video,Phase,Start_Frame,End_Frame,Duration,Key_Frame,Image_Path
B2A_S2_I_cleaned,Address,22,28,7,25,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Address.jpg
B2A_S2_I_cleaned,Takeaway,47,53,7,50,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Takeaway.jpg
B2A_S2_I_cleaned,Mid-backswing,65,71,7,68,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Mid-backswing.jpg
B2A_S2_I_cleaned,Top,88,94,7,91,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Top.jpg
B2A_S2_I_cleaned,Mid-downswing,94,100,7,97,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Mid-downswing.jpg
B2A_S2_I_cleaned,Impact,104,110,7,107,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Impact.jpg
B2A_S2_I_cleaned,Follow-through,109,115,7,112,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Follow-through.jpg
B2A_S2_I_cleaned,Finish,280,286,7,283,data\keyframes\B2A_S2_I_nn\B2A_S2_I_cleaned_Finish.jpg
