Video,Phase,Start_Frame,End_Frame,Duration,Key_Frame,Image_Path
B2I_F12_I_cleaned,Address,9,15,7,12,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Address.jpg
B2I_F12_I_cleaned,Takeaway,25,31,7,28,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Takeaway.jpg
B2I_F12_I_cleaned,Mid-backswing,30,36,7,33,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Mid-backswing.jpg
B2I_F12_I_cleaned,Top,39,45,7,42,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Top.jpg
B2I_F12_I_cleaned,Mid-downswing,44,50,7,47,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Mid-downswing.jpg
B2I_F12_I_cleaned,Impact,47,53,7,50,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Impact.jpg
B2I_F12_I_cleaned,Follow-through,50,56,7,53,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Follow-through.jpg
B2I_F12_I_cleaned,Finish,69,75,7,72,data\keyframes\B2I_F12_I_nn\B2I_F12_I_cleaned_Finish.jpg
